N,T,Y_C2H4
24372,300.0,1.5679045e-09
24373,300.0,9.546792e-10
24374,300.00003,5.7474947e-10
24375,300.00003,3.4212339e-10
24376,300.00003,2.0136193e-10
24377,300.00003,1.1717947e-10
24378,300.00003,6.740627e-11
24379,300.00006,3.8291523e-11
24380,300.00006,2.1554362e-11
24381,300.0001,1.2100731e-11
24382,300.0001,6.882464e-12
24383,300.00012,3.8087476e-12
24384,300.00015,2.1234054e-12
24385,300.00018,1.1550158e-12
24386,300.00024,6.530206e-13
24387,300.00027,3.7121968e-13
24388,300.00034,2.0462196e-13
24389,300.0004,1.11854895e-13
24390,300.00046,6.608447e-14
24391,300.00055,4.2448612e-14
24392,300.0006,3.3523914e-14
24393,300.0007,3.4935904e-14
24394,300.00076,4.4812905e-14
24395,300.00085,6.2591276e-14
24396,300.00092,9.558754e-14
24397,300.00098,1.40216e-13
24398,300.00104,2.0477867e-13
24399,300.00107,2.8823984e-13
24400,308.93393,0.035626456
24401,308.24808,0.0324236
24402,307.59503,0.029425135
24403,306.97568,0.026629223
24404,306.39056,0.024032265
24405,305.83984,0.02162913
24406,305.32336,0.019413425
24407,304.8407,0.017377716
24408,304.3911,0.015513777
24409,303.97372,0.013812788
24410,303.58746,0.012265535
24411,303.23108,0.0108625805
24412,302.90326,0.009594411
24413,302.60257,0.008451569
24414,302.32755,0.00742476
24415,302.0767,0.0065049394
24416,301.8485,0.0056833816
24417,301.6415,0.004951737
24418,301.4542,0.004302068
24419,301.28516,0.0037268784
24420,301.13297,0.0032191272
24421,300.99634,0.0027722367
24422,300.87396,0.0023800912
24423,300.76468,0.002037031
24424,300.6673,0.00173784
24425,300.58075,0.0014777301
24426,300.50406,0.001252324
24427,300.43625,0.0010576344
24428,300.3765,0.0008900426
24429,300.32394,0.000746276
24430,300.27792,0.0006233859
24431,300.23767,0.0005187245
24432,300.2026,0.00042992295
24433,300.17212,0.00035486947
24434,300.14575,0.00029168843
24435,300.123,0.00023872012
24436,300.1034,0.00019450166
24437,300.0866,0.00015774863
24438,300.07227,0.00012733793
24439,300.06006,0.00010229167
24440,300.0497,8.176206e-05
24441,300.04095,6.50174e-05
24442,300.0336,5.1429124e-05
24443,300.02747,4.0459858e-05
24444,300.02234,3.1652464e-05
24445,300.01807,2.4620062e-05
24446,300.01456,1.903698e-05
24447,300.01166,1.4630567e-05
24448,300.00928,1.1173875e-05
24449,300.00735,8.479089e-06
24450,300.0058,6.3917346e-06
24451,300.00455,4.7855488e-06
24452,300.00354,3.5579967e-06
24453,300.00275,2.6263663e-06
24454,300.0021,1.924394e-06
24455,300.00162,1.3993692e-06
24456,300.00122,1.0096685e-06
