z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,CH,CH2,CH2*,CH3,CH4,CO,CO2,HCO,CH2O,CH3O,C2H2,H2CC,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,aC3H5,C3H6,nC3H7,N2
0.070126953125,3.9555220873920907,0.0,1644.0206994163038,0.20249123385916157,0.013468246091658585,0.0029101848309917504,0.0005973802804352512,0.07854134146222254,0.0021999491989797525,0.09228234402136966,0.0002395743672121743,9.748074611865015e-06,7.747140890974757e-06,6.343304515041139e-05,6.2054938384188536e-06,0.0013352347604614165,0.0011940405035505825,0.06773305711585688,0.024720794083553228,0.0001384874748968029,0.0008782327429798452,2.418858732283276e-06,0.003224350221636161,1.3842975260406832e-05,0.0001465450993760864,0.009476295630350797,2.9720210048535968e-05,0.00015448007646808832,9.51940525938959e-05,0.00019741621708416622,4.783060360221473e-05,0.0003840172154090109,3.227412664592012e-05,0.00014059129889553687,7.956378908555112e-09,0.699729014768858
0.07013671875,4.068085751589165,0.0,1688.7904735804586,0.19688831006926755,0.013471351946586076,0.0033417468082192737,0.0007592535763544189,0.07324024204695428,0.0025892178178610024,0.09523611620264477,0.0001967584659965267,6.2086682828811035e-06,1.0380202927523877e-05,6.984934999127125e-05,7.153112846510719e-06,0.0012079826395835318,0.0010360356471961906,0.07013164532932106,0.026847319334850586,0.0001370971929310093,0.0007855646324006161,1.6946857598048445e-06,0.003092680721793067,1.3884582754638019e-05,0.00013287223109270825,0.007429774055862122,2.152871117043669e-05,9.976280537849191e-05,0.00011026057143603668,0.00016725967077698908,3.516396010764741e-05,0.0003803962272817113,2.8611300767609746e-05,0.00010802892176459587,4.699940340072949e-09,0.6993041538791662
0.070146484375,4.1694730715218205,0.0,1729.236827102633,0.1921006548962428,0.013416967809451267,0.0037759768064513505,0.0009547641938612244,0.0682940499479469,0.003005503211274744,0.09784886038245019,0.00016034853612768363,3.962178219794398e-06,1.3113423422191851e-05,7.40081568394897e-05,7.917300426257584e-06,0.001064028168723877,0.0008795670793968522,0.07212039417230888,0.029007229975490958,0.00013302309348238542,0.0007010959297331552,1.1810371616785467e-06,0.0028616133989101712,1.317655751355291e-05,0.00011565209354238134,0.005694959290350209,1.5077337605836795e-05,6.173240924063801e-05,0.00012236142698688414,0.00013990154125734968,2.5302124266823214e-05,0.00037375728104323687,2.4176220716855793e-05,7.937882831601908e-05,2.7178199766122466e-09,0.6990109173696613
0.07015625,4.25953257306285,0.0,1765.3250932791166,0.18803905622365097,0.013309377111278999,0.004205559651313281,0.0011870667041114663,0.06372489671335883,0.0034418088361056606,0.10012478740831614,0.00012990044546099132,2.622404007898532e-06,1.5641549184400567e-05,7.541661499178624e-05,8.4062219402137e-06,0.0009129261367112054,0.0007310945346044672,0.07367751550241683,0.03118966949525145,0.00012639103816957617,0.0006226273420336351,8.196112336601561e-07,0.0025517383658777617,1.1880588370422307e-05,9.692514237541284e-05,0.004264481485070439,1.0196931356012776e-05,3.664196301059721e-05,0.0001298570113305013,0.00011550856176133652,1.7851994747678366e-05,0.00036458921611037283,1.9442430346947003e-05,5.5818115720535666e-05,1.5340340854832092e-09,0.6988385393393974
0.070166015625,4.338321864440607,0.0,1797.087654543818,0.18462402902137576,0.013154972691421365,0.004624293894245092,0.001457496810781901,0.059545199970138,0.003890245393143565,0.1020765716349453,0.00010473235472425149,1.862166713758233e-06,1.763289969577046e-05,7.38474701366167e-05,8.552092786544585e-06,0.0007631200684153041,0.000595402940224219,0.07479237639456886,0.033383528969052015,0.0001173840477632343,0.0005480810357887694,5.664567356790255e-07,0.002192119080393508,1.0213617373353375e-05,7.838180525563333e-05,0.0031181680249722657,6.657926662411882e-06,2.0891302222838305e-05,0.00013158490433104957,9.403022752467998e-05,1.2363030936949808e-05,0.0003534116609363073,1.4867242504792899e-05,3.760429339787079e-05,8.430999705422846e-10,0.6987738387491083
0.07017578125,4.406138248183211,0.0,1824.639379227306,0.18178241213465673,0.012961869813191123,0.005027308040234653,0.0017646761039964722,0.05575728756445142,0.004342564270336423,0.10372370894461544,8.411888958438296e-05,1.4466025965748524e-06,1.8803580005681967e-05,6.941832570242887e-05,8.328148767438575e-06,0.0006215073940646369,0.0004755018034750791,0.07546793015113608,0.035577486527389325,0.0001063299634793938,0.0004761085824624112,3.896714884570183e-07,0.0018147418931867007,8.398349798810013e-06,6.125912271330143e-05,0.002226006338866611,4.199249879615662e-06,1.146059463448762e-05,0.00012717479157204196,7.532189570203077e-05,8.40742648993138e-06,0.00034073880857693776,1.0808994820676133e-05,2.4310040006043355e-05,4.5033907027912875e-10,0.6988023876664363
0.070185546875,4.463539366919503,0.0,1848.1899785651046,0.17944468536991098,0.01273945027497145,0.00541112637251408,0.0021038807057138995,0.05235374037856809,0.004790623537594455,0.10509070897303165,6.738718827046532e-05,1.2260618454141512e-06,1.898979002201979e-05,6.260485490207086e-05,7.758338420715824e-06,0.0004932140289389185,0.0003727464641477867,0.07572231911020066,0.037760164256713066,9.374447794522928e-05,0.00040638818256330186,2.6660468949230347e-07,0.0014489887504483933,6.624733895469457e-06,4.633004319987761e-05,0.0015518285510234106,2.5618981148878063e-06,6.0613934165191956e-06,0.00011718433508415333,5.922714120212716e-05,5.615186659864647e-06,0.0003270467266374417,7.477850808281977e-06,1.5112523020313638e-05,2.335145730655089e-10,0.698909601031922
0.0701953125,4.51133838354494,0.0,1868.0461653796963,0.1775434094284247,0.012497822141519158,0.0057735954594886054,0.002466980497232432,0.049318471697006906,0.005226784286151327,0.10620528947705803,5.3946443385565874e-05,1.1130620114144925e-06,1.819071323071263e-05,5.416594657856761e-05,6.9146317173276e-06,0.0003815114570005825,0.0002871124122662913,0.07558887884609328,0.03992037015859066,8.030908451499604e-05,0.0003395887154188505,1.8130434803750015e-07,0.0011174728128627686,5.0278212943458045e-06,3.395029258502804e-05,0.0010571140192964289,1.5152667732521443e-06,3.0978554486359513e-06,0.00010298584672822537,4.5605906615817916e-05,3.683540180349192e-06,0.00031274938043240105,4.931502788247607e-06,9.057568134462e-06,1.1751434008655617e-10,0.6990815817357331
0.070205078125,4.550565133429208,0.0,1884.5994150758993,0.17601294720242733,0.01224719963974309,0.006113690257976261,0.002843116814357598,0.04662840752794525,0.005644263364136462,0.10709670037899006,4.3282713099019026e-05,1.0592065676845281e-06,1.656414090895943e-05,4.499440642376638e-05,5.901342236766741e-06,0.0002878680721479906,0.00021754810798123487,0.07511414613383388,0.04204738233939947,6.678812923491588e-05,0.0002770537330571372,1.225215100799863e-07,0.0008340128412660923,3.682371900423795e-06,2.4140078046577548e-05,0.0007043658514021406,8.716524852927316e-07,1.5338731649466723e-06,8.64307335141156e-05,3.432128170945878e-05,2.3738512642424074e-06,0.00029818598525875405,3.1084373015224824e-06,5.249070834815553e-06,5.7439854342100444e-11,0.699305635084862
0.07021484375,4.582395509355214,0.0,1898.2998301627997,0.17479031754034527,0.011997250336679656,0.006431236613775106,0.003220026347492013,0.044255528668320346,0.006037450820572947,0.1077942675395244,3.494279039865027e-05,1.0382789310140927e-06,1.4377217836322836e-05,3.594094144332447e-05,4.831587629588587e-06,0.0002121525164039285,0.00016234000536960566,0.0743540383877681,0.044131231133720375,5.3912622218687484e-05,0.00022033129744773882,8.2287962307787e-08,0.0006037850426022524,2.6104976136373575e-06,1.6683095634824186e-05,0.0004596656121853233,4.896687089826326e-07,7.378342590447337e-07,6.941360057044169e-05,2.5210556615341256e-05,1.5034919812239165e-06,0.0002836194408672376,1.8789007347547888e-06,2.9504986966499973e-06,2.7320522674243767e-11,0.6995704723387157
0.070224609375,4.608061927777417,0.0,1909.6212939940808,0.17381675138431765,0.011756493999205968,0.0067266067696596455,0.003585666301035113,0.042168997054548005,0.006402161558273043,0.10832621782016226,2.8520673196702855e-05,1.035843167399798e-06,1.1933767622381435e-05,2.767001726233337e-05,3.804347226579975e-06,0.00015298272563560016,0.00011944014093286607,0.07336892413425401,0.04616294068864937,4.227037100717704e-05,0.00017071282423807398,5.494689462374943e-08,0.0004250658227034824,1.7964684492721014e-06,1.12264934180648e-05,0.0002942154646501606,2.698998947602243e-07,3.457561506570761e-07,5.349261007334345e-05,1.8064251071931937e-05,9.363521719716384e-07,0.0002692433123157309,1.093037246099086e-06,1.6133844282541786e-06,1.267927778060919e-11,0.6998662031517756
0.070234375,4.628763501277631,0.0,1919.0257334607331,0.17303937540929187,0.01153184503464128,0.007000450534699938,0.003929689199923845,0.040337114865526304,0.0067357683694543175,0.10871882143537406,2.365127554990962e-05,1.0435543110170247e-06,9.506498693672488e-06,2.0587454143859513e-05,2.8894267882672694e-06,0.00010816587266386437,8.672657510349083e-05,0.07221860605299839,0.048134703230081545,3.22366140853198e-05,0.00012892041879113773,3.649261426010502e-08,0.0002916880530508921,1.202895919976628e-06,7.3672388051709825e-06,0.0001848933684423672,1.4661020153120787e-07,1.5814598036439228e-07,3.967794156544355e-05,1.2625054058681616e-05,5.735876916274157e-07,0.00025519371928239875,6.138735515355348e-07,8.60020105164218e-07,5.758036566436603e-12,0.7001842365801424
