z (m),U (m/s),T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,CH,CH2,CH2*,CH3,CH4,CO,CO2,HCO,CH2O,CH3O,C2H2,H2CC,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,aC3H5,C3H6,nC3H7,N2
0.06996093749999999,1.4037778654614221,604.4506513632741,0.0005901489806520162,4.6899059236423324e-08,2.789167159524783e-07,0.1964748266882602,9.285233909706845e-06,0.01437533361481236,0.0002234859938958047,5.521919249141476e-05,1.6856083433018078e-13,1.2119729810134127e-08,7.256491071795406e-10,4.151631215455536e-05,0.0003512382841272417,0.011383794239061754,0.0033563374453960864,2.9787852861618404e-07,0.0008213027494709049,6.21783877696119e-05,0.0003612283978730038,2.161512273547175e-09,1.8187567541966006e-07,0.05661717252641917,4.027303439001579e-05,0.0004733050157446302,5.133895536089036e-08,0.00027166392043283304,5.29216055292381e-06,8.859737668447142e-05,3.921708681735581e-06,5.752795375621422e-05,2.3525017828011814e-07,0.7143352436166909
0.06997070312499999,1.516375314121518,651.8177953702597,0.0006182650546589579,1.1495225163522992e-07,4.82857204056971e-07,0.19281124359680724,1.3786770383234652e-05,0.016439321461512755,0.00026769798291779816,6.128062604329855e-05,8.741420312221511e-13,2.436713367501492e-08,1.5462062671395548e-09,5.941577135363673e-05,0.0004075170083318542,0.013414016573680987,0.0041188166726210795,5.701338111955936e-07,0.0009734535987918313,7.010538205817598e-05,0.0004394774053396295,4.540536108161144e-09,3.6902232371870943e-07,0.05504479403898688,6.475416481129421e-05,0.0005754122678478082,1.038387885354919e-07,0.000331547273276808,1.0642856474708894e-05,0.0001115291419103733,5.420836404515047e-06,7.494413488444776e-05,4.529536577043394e-07,0.7140844331691559
0.06998046875,1.6398818223645042,703.6254118425555,0.0006465683643826812,2.655720874576793e-07,8.221478734704312e-07,0.18871347271003527,2.0155370237993746e-05,0.018677834306409506,0.0003174199889492554,6.738947594544929e-05,4.198255658156287e-12,4.803915753722798e-08,3.215086518535202e-09,8.424615389278528e-05,0.0004697210974131149,0.015705712319109354,0.00501461489898375,1.0707710115575147e-06,0.0011353825299471516,7.562780435199129e-05,0.000530784445941718,9.307492955987983e-09,7.309896964172308e-07,0.05322701022154738,9.64698135170308e-05,0.000688604481564455,2.034157045002591e-07,0.00039629435087016875,2.004317149115289e-05,0.0001388928420608849,7.2716658612808794e-06,9.640570988194105e-05,8.015097232368207e-07,0.7138661233042243
0.06998535156249999,1.7056421562422863,731.1456267751468,0.0006607762320879252,4.0034636876103747e-07,1.0759116545025926e-06,0.18649674276648814,2.4299702715700322e-05,0.019861343568788502,0.00034423690999628226,7.039802486627226e-05,9.235941350295321e-12,6.746976081668275e-08,4.612608065027553e-09,0.00010005914426215391,0.0005029560855909266,0.016954371607317654,0.005517905350278549,1.4676874207231788e-06,0.0012175471474380566,7.700278134286732e-05,0.0005818524797593856,1.3299886022468484e-08,1.0243427298164034e-06,0.05222267374048578,0.00011403805652343483,0.0007478733373902075,2.844951608915971e-07,0.00042925442660472996,2.691443318813154e-05,0.00015435338949253822,8.32329990926421e-06,0.00010882035544255418,1.0273526398477613e-06,0.7137728916303736
0.06999023437499999,1.773992711251651,759.7019223889835,0.000675010019660593,5.884335638064978e-07,1.4040561875149196e-06,0.1841658348405302,2.919763592645095e-05,0.021086795084459542,0.0003722604055036731,7.334643655047958e-05,1.9626417568858745e-11,9.412307286812691e-08,6.565878149634496e-09,0.00011845206213026451,0.0005375440312225008,0.018273783136044944,0.00606094585418758,2.0031199469563502e-06,0.0012994138716055472,7.729651992221863e-05,0.0006367968381607933,1.8886368909936178e-08,1.4253402931856034e-06,0.05115309636607877,0.00013206901181731298,0.0008081451559180275,3.945475090046176e-07,0.0004620413150041928,3.549997539049087e-05,0.000171055602774955,9.459330109286581e-06,0.00012244921354031264,1.2827381875929372e-06,0.7136922894646958
0.06999511718749998,1.8448122792480737,789.237409938356,0.0006892641700422941,8.462604480615141e-07,1.829360488074078e-06,0.1817213554038032,3.497376681803861e-05,0.022352782791825645,0.00040133089427544437,7.620305821082314e-05,4.063524765410301e-11,1.3052227160155344e-07,9.270611574899328e-09,0.000139665899447175,0.0005733513802889084,0.019664224911356314,0.006645260634458104,2.724100088744893e-06,0.0013797700747257113,7.644174526877938e-05,0.0006957683483944644,2.6681914835845534e-08,1.970435177800389e-06,0.05001925799379236,0.00014976228974713322,0.0008683818119412924,5.433498874383665e-07,0.0004940288061341919,4.5964318368762786e-05,0.00018898763589460498,1.0675723903889678e-05,0.00013730696369849738,1.5537773785650325e-06,0.7136256075765666
0.06999999999999999,1.9179617013890404,819.6876772253339,0.0007035337033862876,1.1928387784163755e-06,2.3811523738111553e-06,0.17916443443632912,4.177576428332254e-05,0.023657740510780727,0.00043123968749944006,7.893145355484431e-05,8.21068508366945e-11,1.7992888566695615e-07,1.2980495220964119e-08,0.00016390064549217534,0.000610197071517073,0.021125605103186118,0.007272327539857152,3.6908978503682083e-06,0.0014573096399904625,7.444320963475608e-05,0.000758916770625695,3.7534876214375335e-08,2.7063204210207994e-06,0.048822734267579986,0.00016629579812188464,0.0009273416132332829,7.434015760713357e-07,0.0005245581940557845,5.840359061162349e-05,0.00020811338325158236,1.196971164282626e-05,0.00015338385245695248,1.8180912382083449e-06,0.7135740808239234
0.0700048828125,1.9932848116884494,850.9812917694351,0.00071781380714932,1.6496990984234396e-06,3.0967659401557345e-06,0.17649676173578377,4.977687854391536e-05,0.024999928470840767,0.00046171323336564375,8.148969377849169e-05,1.6203924975530375e-10,2.465729443933813e-07,1.8021802218019138e-08,0.00019129342511560866,0.0006478452729622813,0.022657404187608074,0.007943571384685938,4.9792551705109105e-06,0.0015306689508355839,7.138652926060718e-05,0.0008263905114103552,5.263195049272606e-08,3.6925290296273905e-06,0.04756566297765231,0.00018089553736565255,0.0009836023586635475,1.010543261259684e-06,0.0005529691861115833,7.281847897312266e-05,0.0002283693413706356,1.334104536769661e-05,0.00017064059758543356,2.045401451485254e-06,0.7135388648125529
0.070009765625,2.070609782012428,883.0404919471879,0.0007320993195828608,2.2407099529325275e-06,4.022895308553393e-06,0.17372063522705453,5.9177333037953856e-05,0.026377414466191972,0.0004923968540332366,8.382967821015407e-05,3.125699957785334e-10,3.3590572515633893e-07,2.4810253161954916e-08,0.0002218978935859303,0.0006859997152874125,0.02425860675403684,0.008660354714476026,6.68113650931018e-06,0.0015984735655954199,6.743451766433714e-05,0.0008983358808106398,7.364305796304311e-08,5.003734335310519e-06,0.04625069709317117,0.00019290008323632137,0.0010356064380925318,1.3645689284906948e-06,0.000578634685804621,8.908930338023616e-05,0.00024966217043590784,1.4792926709363125e-05,0.0001890032334486492,2.2012766748037045e-06,0.7135210091522038
0.0700146484375,2.1497508721922705,915.7820661862343,0.0007463840985388122,2.9917881777154863e-06,5.21664888905435e-06,0.17083902099143425,7.020411600529617e-05,0.02778805035251634,0.0005228397661350508,8.589663567169801e-05,5.897211067344949e-10,4.548759146384516e-07,3.386983278040544e-08,0.0002556670806427325,0.000724300600815376,0.02592762480309953,0.009423965113170384,8.903178895980538e-06,0.0016593946421905156,6.280969276742055e-05,0.0009748956261605524,1.0291921756744151e-07,6.7314744453856535e-06,0.044880950174513635,0.00020181057494016397,0.001081727308623981,1.8298061718485238e-06,0.0006009972928942623,0.00010695560914569399,0.0002718673066682108,1.6332367550479e-05,0.00020835780585733832,2.254730981951927e-06,0.7135214281569279
